citation_item,item_count,frequency
"C Ouyang, 2009, 10.1145/1555392.1555395",2,0.26
"D Romero, 2010, 10.1080/09537280903441963",2,0.26
10.1108/VJIKMS-09-2019-0142,2,0.26
10.1002/smj.4250141009,2,0.26
"A Mamudu, 2023, 10.1108/BPMJ-09-2022-0453",2,0.26
"J vom Brocke, 2020, 10.1007/s12599-020-00630-7",2,0.26
10.1051/e3sconf/20183303007,2,0.26
10.4304/jcp.3.1.24-31,2,0.26
"H Lasi, 2014, 10.1007/s12599-014-0334-4",2,0.26
"E Oztemel, 2020, 10.1007/s10845-018-1433-8",2,0.26
"G Vial, 2019, 10.1016/j.jsis.2019.01.003",2,0.26
10.1057/ejis.1994.12,2,0.26
Grønmo R.,2,0.26
10.5555/2017212.2017217,2,0.26
10.1108/14637151211225225,2,0.26
"S Ghilardi, 2022, 10.1016/j.is.2022.102011",2,0.26
"A Cater-Steel, 2006",2,0.26
10.1109/TSC.2015.2402679,2,0.26
"S Conger, 2008",2,0.26
"SD Galup, 2009, 10.1145/1506409.1506439",2,0.26
"C Pollard, 2009, 10.1080/10580530902797540",2,0.26
10.1007/978-1-4419-1636-5_6,2,0.26
"S Tjoa, 2010, 10.1109/TSC.2010.17",2,0.26
10.1007/s007790170019,2,0.26
10.1109/5254.920599,2,0.26
"W. M., 2011",2,0.26
10.1145/2600821.2600835,2,0.26
10.1145/3506799,2,0.26
10.1109/WSC.2006.323142,2,0.26
10.1007/978-3-540-25970-1_7,2,0.26
10.1007/978-3-642-17358-5_38,2,0.26
10.1108/01443579710167230,2,0.26
10.1016/j.eswa.2017.05.069,2,0.26
"A Artale, 2019, 10.1007/978-3-030-26619-6_11",2,0.26
